F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,48,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N48_M1_seq_zmq_ss_local,20260724_112347,2.8719840049743652,0.21094584465026855,0.3931581974029541,0.007830619812011719,30,0.00025811990102132164,0.00023305416107177734,0.0003762245178222656,,6780.421875,5156.566666666666,183893.48922177567
1,48,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N48_M1_seq_zmq_ss_local,20260724_112352,2.9843950271606445,0.21118998527526855,0.41335439682006836,0.007937192916870117,30,0.00026160081227620443,0.00023424625396728516,0.0003867149353027344,,6767.671875,5342.316666666666,181424.34171397676
1,48,1,seq,,zmq_ss,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N48_M1_seq_zmq_ss_local,20260724_112357,3.0250213146209717,0.2139279842376709,0.4106271266937256,0.007840394973754883,30,0.00025856494903564453,0.00022494792938232422,0.0003898143768310547,,6761.90234375,4180.76,183664.2165120876
1,48,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N48_M1_seq_zmq_ss_distributed_nat,20260724_112403,4.37308406829834,0.21479511260986328,0.28189897537231445,0.007800102233886719,30,0.0002571582794189453,0.0002315044403076172,0.00038695335388183594,,4310.47265625,2288.37,184612.96491013572
1,48,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N48_M1_seq_zmq_ss_distributed_nat,20260724_112410,4.216188907623291,0.21499300003051758,0.2767024040222168,0.007425546646118164,30,0.0002440770467122396,0.00022923946380615234,0.0003228187561035156,,4328.31640625,2324.75,193925.11671215284
1,48,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,2,scaling_F1_N48_M1_seq_zmq_ss_distributed_nat,20260724_112417,4.285583972930908,0.21181631088256836,0.2779355049133301,0.007800102233886719,30,0.00025699138641357424,0.000232696533203125,0.00038743019104003906,,4329.69921875,2466.1157894736843,184612.96491013572
1,48,1,seq,,zmq_ss,heavy_compute_dummy,5000.0,local,1,30,0,scaling_F1_N48_M1_seq_zmq_ss_local,20260724_112424,3.000415802001953,0.21412110328674316,0.413301944732666,0.07994961738586426,30,0.0026636600494384767,0.0024100542068481445,0.003421306610107422,,6795.94140625,4261.087500000001,18011.343231951523
1,48,1,seq,,zmq_ss,heavy_compute_dummy,5000.0,local,1,30,1,scaling_F1_N48_M1_seq_zmq_ss_local,20260724_112431,2.9240479469299316,0.21286487579345703,0.45592355728149414,0.07841968536376953,30,0.002612153689066569,0.0023876428604125977,0.0049822330474853516,,6765.84765625,5107.1461538461535,18362.736260929843
1,48,1,seq,,zmq_ss,heavy_compute_dummy,5000.0,local,1,30,2,scaling_F1_N48_M1_seq_zmq_ss_local,20260724_112436,3.0245168209075928,0.2111530303955078,0.4209582805633545,0.09361457824707031,30,0.0031194368998209636,0.00238192081451416,0.007056713104248047,,6763.2734375,4363.1866666666665,15382.219596177747
1,48,1,seq,,zmq_ss,heavy_compute_dummy,5000.0,distributed_nat,3,30,0,scaling_F1_N48_M1_seq_zmq_ss_distributed_nat,20260724_112442,4.693206310272217,0.21194839477539062,0.2750835418701172,0.07164239883422852,30,0.002386919657389323,0.002103447914123535,0.004512786865234375,,4317.2421875,2386.8333333333335,20099.82947851842
